Title,Bedrooms,Bathrooms,Floor_no,Occupancy_status,Floor_area,City,Location,Price_in_taka
,3.0,3.0,5.0,vacant,1185.0,dhaka,"Lake Circus Road, Kalabagan","৳11,000,000"
,3.0,3.0,4.0,vacant,1610.0,dhaka,"Block H, Bashundhara R-A","৳13,100,000"
,4.0,4.0,7.0,vacant,2180.0,dhaka,"Block J, Bashundhara R-A","৳17,500,000"
,4.0,4.0,2.0,vacant,3650.0,dhaka,"Gulshan 2, Gulshan","৳78,000,000"
,3.043068640646029,2.89771197846568,9.0,vacant,5000.0,dhaka,"Free School Street, Kathalbagan","৳110,000,000"
,3.0,3.0,3.0,vacant,2700.0,dhaka,"Gulshan 1, Gulshan","৳55,000,000"
,3.0,2.0,2.0,vacant,1175.0,dhaka,"Baitul Aman Housing Society, Adabor","৳8,300,000"
,2.0,2.0,1.0,vacant,650.0,dhaka,"Section 6, Mirpur","৳3,100,000"
,3.0,4.0,1.0,vacant,1331.0,dhaka,"Sector 4, Uttara","৳16,000,000"
,2.0,2.0,4.0,vacant,900.0,dhaka,"Nobodoy Housing Society, Mohammadpur","৳4,500,000"
,3.0,2.0,2.0,vacant,950.0,dhaka,"Gulbag, Malibagh","৳6,000,000"
,2.0,2.0,6.0,vacant,1230.0,dhaka,"West Shewrapara, Mirpur","৳5,000,000"
,3.0,2.0,7.0,vacant,1150.0,dhaka,"Middle Monipur, Mirpur","৳6,500,000"
,3.0,2.0,7.0,vacant,1150.0,dhaka,"Middle Monipur, Mirpur","৳6,500,000"
,3.0,3.0,7.0,vacant,1150.0,dhaka,"Manikdi, Cantonment","৳6,700,000"
,3.0,3.0,2.0,vacant,1250.0,dhaka,"East Kazipara, Mirpur","৳7,600,000"
,2.0,2.0,2.0,vacant,860.0,dhaka,"Rupnagar R/A, Mirpur","৳4,900,000"
,3.0,2.0,1.0,vacant,1050.0,dhaka,"West Kazipara, Mirpur","৳6,200,000"
,4.0,4.0,10.0,vacant,3355.0,dhaka,"Sector 4, Uttara","৳39,000,000"
,3.0,3.0,5.0,vacant,1375.0,dhaka,"Section 6, Mirpur","৳12,100,000"
,3.043068640646029,2.89771197846568,4.0,vacant,21500.0,dhaka,"Hemayetpur, Savar","৳220,000,000"
,3.0,2.0,2.0,vacant,900.0,dhaka,"Pirerbag, Mirpur","৳5,000,000"
,3.0,3.0,5.0,vacant,1008.0,dhaka,"Section 10, Mirpur","৳4,838,400"
,3.0,2.0,3.0,vacant,1055.0,dhaka,"Moushair, Dakshin Khan","৳5,300,000"
,3.0,3.0,5.0,vacant,1800.0,dhaka,"Block F, Bashundhara R-A","৳16,000,000"
,3.0,3.0,2.0,vacant,1250.0,dhaka,"Ahmed Nagar, Mirpur","৳5,250,000"
,8.0,4.0,1.0,vacant,2146.0,dhaka,"Ashulia, Savar","৳10,500,000"
,3.0,2.0,9.0,vacant,900.0,dhaka,"Hemayetpur, Savar","৳2,900,000"
,2.0,2.0,6.0,vacant,1050.0,dhaka,"Radio Colony, Savar","৳3,360,000"
,3.0,3.0,2.0,vacant,1250.0,dhaka,"Block C, Bashundhara R-A","৳11,500,000"
,3.0,3.0,9.0,vacant,1675.0,dhaka,"Section 1, Mirpur","৳9,712,500"
,3.0,3.0,1.0,vacant,1300.0,dhaka,"Ahmed Nagar, Mirpur","৳7,500,000"
,3.0,4.0,1.0,vacant,2787.0,dhaka,"Road No 12A, Dhanmondi","৳29,000,000"
,4.0,4.0,9.0,vacant,5040.0,dhaka,"Block C, Bashundhara R-A","৳54,000,000"
,3.0,2.0,5.0,vacant,986.0,dhaka,"Sector 9, Uttara","৳6,200,000"
,2.0,2.0,5.0,vacant,920.0,dhaka,"South Chalabon, Dakshin Khan","৳3,300,000"
,3.0,3.0,1.0,vacant,1275.0,dhaka,"West Agargaon, Agargaon","৳8,500,000"
,3.0,3.0,2.0,vacant,2290.0,dhaka,"Block B, Bashundhara R-A","৳22,500,000"
,3.0,3.0,2.0,vacant,1400.0,dhaka,"Section 12, Mirpur","৳7,800,000"
,3.0,2.0,4.0,vacant,1075.0,dhaka,"Section 10, Mirpur","৳5,500,000"
,3.0,3.0,1.0,vacant,1300.0,dhaka,"Sector 5, Uttara","৳9,600,000"
,3.0,3.0,2.0,vacant,1135.0,dhaka,"Ashkona, Dakshin Khan","৳7,500,000"
,2.0,2.0,2.0,vacant,855.0,dhaka,"Section 10, Mirpur","৳4,702,500"
,3.0,3.0,2.0,vacant,1425.0,dhaka,"East Rampura, Rampura","৳9,000,000"
,3.0,4.0,4.0,vacant,2380.0,dhaka,"Block D, Bashundhara R-A","৳21,500,000"
,3.043068640646029,2.89771197846568,5.0,vacant,2600.0,dhaka,"West Rampura, Rampura","৳31,200,000"
,4.0,4.0,4.0,vacant,2000.0,dhaka,"Baitul Aman Housing Society, Adabor","৳14,800,000"
,3.0,3.0,2.0,vacant,1600.0,dhaka,"Sector 12, Uttara","৳14,000,000"
,4.0,4.0,3.0,vacant,2200.0,dhaka,"Mirpur DOHS, Mirpur","৳25,000,000"
,4.0,4.0,8.0,vacant,3474.0,dhaka,"Sector 3, Uttara","৳45,000,000"
,3.0,4.0,9.0,vacant,1550.0,dhaka,"Block C, Aftab Nagar","৳15,000,000"
,2.0,2.0,1.0,vacant,850.0,dhaka,"South Badda, Badda","৳5,000,000"
,3.043068640646029,2.89771197846568,6.0,vacant,2075.0,dhaka,"Sector 13, Uttara","৳29,050,000"
,3.0,3.0,3.0,vacant,1380.0,dhaka,"Block E, Aftab Nagar","৳9,500,000"
,3.0,3.0,8.0,vacant,1350.0,dhaka,"Block C, Banasree","৳11,300,000"
,3.0,3.0,2.0,vacant,1470.0,dhaka,"Mansurabad Housing Society, Adabor","৳7,000,000"
,3.0,2.0,1.0,vacant,1090.0,dhaka,"West Shewrapara, Mirpur","৳5,500,000"
,3.0,2.0,7.0,vacant,1220.0,dhaka,"Block G, Banasree","৳8,000,000"
,3.0,3.0,2.0,vacant,1550.0,dhaka,"Uttar Badda, Badda","৳14,500,000"
,3.043068640646029,2.89771197846568,1.0,vacant,5824.0,dhaka,"Gulshan 1, Gulshan","৳300,000,000"
,3.0,4.0,5.0,vacant,1654.0,dhaka,"Sector 18, Uttara","৳12,500,000"
,3.0,2.0,2.0,vacant,975.0,dhaka,"East Kazipara, Mirpur","৳4,000,000"
,2.0,2.0,4.0,vacant,740.0,dhaka,"Pirerbag, Mirpur","৳3,500,000"
,3.0,3.0,5.0,vacant,1370.0,dhaka,"Middle Badda, Badda","৳9,200,000"
,3.0,2.0,2.0,vacant,950.0,dhaka,"Moushair, Dakshin Khan","৳4,000,000"
,3.0,3.0,3.0,vacant,1365.0,dhaka,"Uttar Badda, Badda","৳8,540,000"
,3.0,3.0,3.0,vacant,1128.0,dhaka,"Uttar Badda, Badda","৳7,118,000"
,3.0,4.0,3.0,vacant,1960.0,dhaka,"Gulshan 1, Gulshan","৳39,000,000"
,3.0,3.0,1.0,vacant,1705.0,dhaka,"Lake Circus Road, Kalabagan","৳16,900,000"
,3.0,3.0,6.0,vacant,1370.0,dhaka,"Shukrabad, Dhanmondi","৳12,500,000"
,3.0,3.0,4.0,vacant,2125.0,dhaka,"Block L, Bashundhara R-A","৳20,000,000"
,3.0,3.0,4.0,vacant,2687.0,dhaka,"Road No 25, Banani","৳47,500,000"
,3.0,3.0,3.0,vacant,1150.0,dhaka,"Middle Badda, Badda","৳8,800,000"
,3.0,3.0,8.0,vacant,2119.0,dhaka,"Block B, Bashundhara R-A","৳19,000,000"
,4.0,4.0,2.0,vacant,2318.0,dhaka,"Block D, Bashundhara R-A","৳23,000,000"
,3.0,3.0,8.0,vacant,1397.0,dhaka,"Matuail, Demra","৳8,000,000"
,3.0,3.0,1.0,vacant,2400.0,dhaka,"Block H, Aftab Nagar","৳20,000,000"
,3.0,3.0,3.0,vacant,1300.0,dhaka,"West Dolairpar, Shyampur","৳8,000,000"
